type,brand,ddr_gen,channel,capacity,clock_rate,remark,price,original_info
桌上型記憶體,UMAX,DDR5,單通道,8GB,5600,【具XMP、EXPO參數】,749,"UMAX 單條8GB DDR5-5600/CL46【具XMP、EXPO參數】, $749 ◆ ★ 熱賣"
桌上型記憶體,UMAX,DDR5,單通道,16GB,5600,【具XMP、EXPO參數】,1299,"UMAX 單條16GB DDR5-5600/CL46【具XMP、EXPO參數】, $1299 ◆ ★ 熱賣"
桌上型記憶體,UMAX,DDR5,單通道,32GB,5600,【具XMP、EXPO參數】,2599,"UMAX 單條32GB DDR5-5600/CL46【具XMP、EXPO參數】, $2599 ◆ ★ 熱賣"
桌上型記憶體,金士頓,DDR5,單通道,16GB,5600,【具XMP、EXPO參數】,1580,"金士頓 單條16GB DDR5-5600(CL36) FURY Beast (獸獵者)【具XMP、EXPO參數】, $1580 ◆ ★"
桌上型記憶體,金士頓,DDR5,單通道,16GB,5600,【具XMP、EXPO參數】,1750,"金士頓 單條16GB DDR5-5600(CL36) FURY Beast RGB (獸獵者)【具XMP、EXPO參數】, $1750 ◆ ★ 熱賣"
桌上型記憶體,金士頓,DDR5,單通道,16GB,6000,【具XMP、EXPO參數】,1800,"金士頓 單條16GB DDR5-6000(CL36) FURY Beast Black (獸獵者)【具XMP、EXPO參數】, $1800 ◆ ★ 熱賣"
桌上型記憶體,美光,DDR5,單通道,16GB,5600,【具XMP、EXPO參數】,1399,"美光Micron Crucial 單條16GB DDR5 5600/CL46 (原生顆粒製)【具XMP、EXPO參數】, $1399 ◆ ★"
桌上型記憶體,美光,DDR5,單通道,32GB,5600,【具XMP、EXPO參數】,2750,"美光Micron Crucial 單條32GB DDR5 5600/CL46(原生顆粒製)【具XMP、EXPO參數】, $2750 ◆ ★"
桌上型記憶體,UMAX,DDR5,雙通道,16GB (8GB*2),5600,【具XMP、EXPO參數】,1599,"UMAX 16GB(雙通8GB*2) DDR5 5600/CL46 含散熱片【具XMP、EXPO參數】, $1599 ◆ ★ 熱賣"
桌上型記憶體,UMAX,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,2699,"UMAX 32GB(雙通16GB*2) DDR5 5600/CL46 含散熱片【具XMP、EXPO參數】, $2699 ◆ ★ 熱賣"
桌上型記憶體,UMAX,DDR5,雙通道,64GB (32GB*2),5600,【具XMP、EXPO參數】,5299,"UMAX 64GB(雙通32GB*2) DDR5 5600/CL46 含散熱片【具XMP、EXPO參數】, $5299 ◆ ★"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,3199,"威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer/CL36 黑【具XMP、EXPO參數】, $3199 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,3199,"威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer/CL36 白【具XMP、EXPO參數】, $3199 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,3399,"威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer RGB/CL36 黑【具XMP、EXPO參數】, $3399 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,3399,"威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer RGB/CL36 白【具XMP、EXPO參數】, $3399 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6000,【具XMP、EXPO參數】,3499,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer/CL30 黑【具XMP、EXPO參數】, $3499 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6000,【具XMP、EXPO參數】,3499,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer/CL30 白【具XMP、EXPO參數】, $3499 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6000,【具XMP、EXPO參數】,3699,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer RGB/CL30 黑【具XMP、EXPO參數】, $3699 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6000,【具XMP、EXPO參數】,3699,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer RGB/CL30 白【具XMP、EXPO參數】, $3699 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6000,【雙參數】,3999,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer RGB/CL30(RO姬)黑【雙參數】, $3999 ◆ ★"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6000,【雙參數】,3999,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer RGB/CL30(吹雪)白【雙參數】, $3999 ◆ ★"
桌上型記憶體,威剛,DDR5,雙通道,48GB (24GB*2),6000,【具XMP、EXPO參數】,4999,"威剛 48GB(24GB*2) DDR5 6000 XPG Lancer Blade RGB/CL30 黑【具XMP、EXPO參數】, $4999 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,48GB (24GB*2),6000,【具XMP、EXPO參數】,4999,"威剛 48GB(24GB*2) DDR5 6000 XPG Lancer Blade RGB/CL30 白【具XMP、EXPO參數】, $4999 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),5600,【具XMP、EXPO參數】,5799,"威剛 64GB(雙通32GB*2) DDR5 5600 XPG Lancer/CL36 黑【具XMP、EXPO參數】, $5799 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),5600,【具XMP、EXPO參數】,5799,"威剛 64GB(雙通32GB*2) DDR5 5600 XPG Lancer/CL36 白【具XMP、EXPO參數】, $5799 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),6000,【具XMP、EXPO參數】,6399,"威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer/CL30 黑【具XMP、EXPO參數】, $6399 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),6000,【具XMP、EXPO參數】,6399,"威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer/CL30 白【具XMP、EXPO參數】, $6399 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),5600,【具XMP、EXPO參數】,6199,"威剛 64GB(雙通32GB*2) DDR5 5600 XPG Lancer RGB/CL36 黑【具XMP、EXPO參數】, $6199 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),5600,【具XMP、EXPO參數】,6199,"威剛 64GB(雙通32GB*2) DDR5 5600 XPG Lancer RGB/CL36 白【具XMP、EXPO參數】, $6199 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),6000,【具XMP、EXPO參數】,6799,"威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer RGB/CL30 黑【具XMP、EXPO參數】, $6799 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),6000,【具XMP、EXPO參數】,6799,"威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer RGB/CL30 白【具XMP、EXPO參數】, $6799 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),6000,【雙參數】,7299,"威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer RGB/CL30(RO姬)黑【雙參數】, $7299 ◆ ★"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),6000,【雙參數】,7299,"威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer RGB/CL30(吹雪)白【雙參數】, $7299 ◆ ★"
桌上型記憶體,KLEVV,DDR5,雙通道,32GB (16GB*2),6000,【具XMP、EXPO參數】,3299,"KLEVV(科賦)32GB(雙通道16GB*2) DDR5 6000/CL30 BOLT V【具XMP、EXPO參數】, $3299 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,3400,"金士頓 32GB(雙通16GB*2) DDR5-5600/CL36 FURY Beast黑【具XMP、EXPO參數】, $3400 ◆ ★ 熱賣"
桌上型記憶體,金士頓,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,3400,"金士頓 32GB(雙通16GB*2) DDR5-5600/CL36 FURY Beast白【具XMP、EXPO參數】, $3400 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,3550,"金士頓 32GB(雙通16GB*2) DDR5-5600/CL36 FURY Beast RGB黑【具XMP、EXPO參數】, $3550 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,3550,"金士頓 32GB(雙通16GB*2) DDR5-5600/CL36 FURY Beast RGB白【具XMP、EXPO參數】, $3550 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,32GB (16GB*2),6000,【具雙參數】,3650,"金士頓 32GB(雙通16GB*2) DDR5-6000/CL36 FURY Beast 黑 (獸獵者)【具雙參數】, $3650 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,32GB (16GB*2),6000,【具雙參數】,3650,"金士頓 32GB(雙通16GB*2) DDR5-6000/CL36 FURY Beast 白 (獸獵者)【具雙參數】, $3650 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,32GB (16GB*2),6000,【具XMP、EXPO參數】,3900,"金士頓 32GB(雙通16GB*2) D5-6000/CL36 FURY Beast BlacK RGB (獸獵者)【具XMP、EXPO參數】, $3900 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,64GB (32GB*2),5600,【具雙參數】,6200,"金士頓 64GB(雙通32GB*2) DDR5-5600/CL36 FURY Beast 黑 (獸獵者)【具雙參數】, $6200 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,64GB (32GB*2),5600,【具雙參數】,6200,"金士頓 64GB(雙通32GB*2) DDR5-5600/CL36 FURY Beast 白 (獸獵者)【具雙參數】, $6200 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,64GB (32GB*2),6000,【具雙參數】,6299,"金士頓 64GB(雙通32GB*2) DDR5-6000/CL36 FURY Beast 黑 (獸獵者)【具雙參數】▼下殺到 3/31 23:59, $6550↘$6299 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,64GB (32GB*2),6000,【具雙參數】,6299,"金士頓 64GB(雙通32GB*2) DDR5-6000/CL36 FURY Beast 白 (獸獵者)【具雙參數】▼下殺到 3/31 23:59, $6550↘$6299 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,64GB (32GB*2),6000,【具XMP、EXPO參數】,6599,"金士頓 64GB(雙通32GB*2) D5-6000/CL36 FURY Beast RGB黑【具XMP、EXPO參數】▼下殺到 3/31 23:59, $6990↘$6599 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,64GB (32GB*2),6000,【具XMP、EXPO參數】,6599,"金士頓 64GB(雙通32GB*2) D5-6000/CL36 FURY Beast RGB白【具XMP、EXPO參數】▼下殺到 3/31 23:59, $6990↘$6599 ◆ ★"
桌上型記憶體,十銓,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,2899,"十銓 T-Force VULCANα 火神32GB(雙通16GB*2) D5-5600(CL40)黑【具XMP、EXPO參數】, $2899 ◆ ★"
桌上型記憶體,十銓,DDR5,雙通道,32GB (16GB*2),6000,【具XMP、EXPO參數】,3299,"十銓 T-CREATE EXPERT 32GB(雙通16GB*2) D5-6000(CL30)黑【具XMP、EXPO參數】, $3299 ◆ ★"
桌上型記憶體,十銓,DDR5,雙通道,32GB (16GB*2),6000,【具XMP、EXPO參數】,3299,"十銓 T-CREATE EXPERT 32GB(雙通16GB*2) D5-6000(CL30)白【具XMP、EXPO參數】, $3299 ◆ ★"
桌上型記憶體,美光,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,2799,"美光Micron Crucial 32GB(雙通16GB*2) D5 5600/CL46(原生顆粒)【具XMP、EXPO參數】, $2799 ◆ ★"
桌上型記憶體,美光,DDR5,雙通道,64GB (32GB*2),5600,【具XMP、EXPO參數】,5599,"美光Micron Crucial 64GB(雙通32GB*2) D5 5600/CL46(原生顆粒)【具XMP、EXPO參數】, $5599 ◆ ★"
桌上型記憶體,美光,DDR5,雙通道,32GB (16GB*2),5600,【具XMP、EXPO參數】,2699,"美光Micron Crucial PRO 超頻 32GB(雙通16GB*2) D5 5600/CL46【具XMP、EXPO參數】, $2699 ◆ ★ 熱賣"
桌上型記憶體,美光,DDR5,雙通道,64GB (32GB*2),5600,【具XMP、EXPO參數】,5399,"美光Micron Crucial PRO 超頻 64GB(雙通32GB*2) D5 5600/CL46【具XMP、EXPO參數】, $5399 ◆ ★"
桌上型記憶體,美光,DDR5,雙通道,48GB (24GB*2),6000,【具XMP、EXPO參數】,3999,"美光Micron Crucial PRO 超頻 48GB(雙通24GB*2) D5 6000/CL48【具XMP、EXPO參數】, $3999 ◆ ★"
桌上型記憶體,UMAX,DDR5,雙通道,8GB,4800,None,699,"UMAX 8GB DDR5-4800/CL40, $699 ◆ ★ 熱賣"
桌上型記憶體,UMAX,DDR5,雙通道,16GB,4800,None,1259,"UMAX 16GB DDR5-4800/CL40, $1259 ◆ ★ 熱賣"
桌上型記憶體,UMAX,DDR5,雙通道,32GB,4800,None,2399,"UMAX 32GB DDR5-4800/CL40, $2399 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,8GB,4800,None,729,"威剛 8GB DDR5-4800/CL40 (AD5U48008G-S), $729 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,8GB,5600,None,859,"威剛 8GB DDR5-5600/CL46 (AD5U56008G-S), $859 ◆ ★"
桌上型記憶體,威剛,DDR5,雙通道,16GB,4800,None,1299,"威剛 16GB DDR5-4800/CL40 (AD5U480016G-S), $1299 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,16GB,5600,None,1399,"威剛 16GB DDR5-5600/CL46 (AD5U560016G-S), $1399 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB,4800,None,2499,"威剛 32GB DDR5-4800/CL40 (AD5U480032G-S), $2499 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB,5600,None,2699,"威剛 32GB DDR5-5600/CL46 (AD5U560032G-S), $2699 ◆ ★ 熱賣"
桌上型記憶體,金士頓,DDR5,雙通道,8GB,4800,None,849,"金士頓 8GB DDR5-4800/CL40, $849 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,16GB,4800,None,1450,"金士頓 16GB DDR5-4800/CL40, $1450 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,16GB,5600,None,1630,"金士頓 16GB DDR5-5600/CL46, $1630 ◆ ★ 熱賣"
桌上型記憶體,金士頓,DDR5,雙通道,32GB,4800,None,2700,"金士頓 32GB DDR5-4800/CL40, $2700 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,32GB,5600,None,2780,"金士頓 32GB DDR5-5600/CL46, $2780 ◆ ★ 熱賣"
桌上型記憶體,KLEVV,DDR5,雙通道,16GB,5600,None,1459,"KLEVV(科賦) 16GB DDR5-5600/CL46, $1459 ◆ ★ 熱賣"
桌上型記憶體,十銓,DDR5,雙通道,16GB,5600,None,1299,"十銓ELITE 16GB DDR5 5600/CL46, $1299 ◆ ★"
桌上型記憶體,美光,DDR5,雙通道,8GB,4800,None,729,"美光Micron Crucial 8GB DDR5 4800/CL40, $729 ◆ ★"
桌上型記憶體,美光,DDR5,雙通道,16GB,4800,None,1349,"美光Micron Crucial 16GB DDR5 4800/CL40, $1349 ◆ ★"
桌上型記憶體,美光,DDR5,雙通道,32GB,4800,None,2699,"美光Micron Crucial 32GB DDR5 4800/CL40, $2699 ◆ ★"
桌上型記憶體,UMAX,DDR5,雙通道,16GB (8GB*2),4800,None,1499,"UMAX 16GB(雙通8GB*2) DDR5 4800/CL40 含散熱片, $1499 ◆ ★ 熱賣"
桌上型記憶體,UMAX,DDR5,雙通道,32GB (16GB*2),4800,None,2599,"UMAX 32GB(雙通16GB*2) DDR5 4800/CL40 含散熱片, $2599 ◆ ★ 熱賣"
桌上型記憶體,UMAX,DDR5,雙通道,64GB (32GB*2),4800,None,5099,"UMAX 64GB(雙通32GB*2) DDR5 4800/CL40 含散熱片, $5099 ◆ ★"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6400,None,3999,"威剛 32GB(雙通16GB*2) D5 6400/CL32 LancerRGB(AX5U6400C3216G-DCLARBK)黑, $3999 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6400,None,3999,"威剛 32GB(雙通16GB*2) D5 6400/CL32 LancerRGB(AX5U6400C3216G-DCLARWH)白, $3999 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6600,None,5699,"威剛 32GB(雙通16GB*2) D5 6600/CL32 Lancer RGB ROG-CERTIFIED 聯名款, $5699 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6800,None,5699,"威剛32GB(雙通16GB*2)D5 6800/CL34 Lancer RGB(AX5U6800C3416G-DCLARBK)黑, $5699 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),6800,None,5699,"威剛32GB(雙通16GB*2)D5 6800/CL34 Lancer RGB(AX5U6800C3416G-DCLARWH白, $5699 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),7200,None,5499,"威剛32GB(雙通16GB*2)D5 7200/CL34 LancerRGB(AX5U7200C3416G-DCLARBK)黑, $5499 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,32GB (16GB*2),7200,None,5499,"威剛32GB(雙通16GB*2)D5 7200/CL34 LancerRGB(AX5U7200C3416G-DCLARWH)白, $5499 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,48GB (24GB*2),6400,None,5399,"威剛48GB(24GB*2)D5 6400/CL32 Lancer Blade RGB(AX5U6400C3224G-DTLABRBK)黑, $5399 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,48GB (24GB*2),6400,None,5399,"威剛48GB(24GB*2)D5 6400/CL32 Lancer Blade RGB(AX5U6400C3224G-DTLABRWH)白, $5399 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),6400,None,7199,"威剛64GB(雙通32GB*2)D5 6400/CL32 LancerRGB(AX5U6400C3232G-DCLARBK)黑, $7199 ◆ ★ 熱賣"
桌上型記憶體,威剛,DDR5,雙通道,64GB (32GB*2),6400,None,7199,"威剛64GB(雙通32GB*2)D5 6400/CL32 LancerRGB(AX5U6400C3232G-DCLARWH)白, $7199 ◆ ★ 熱賣"
桌上型記憶體,十銓,DDR5,雙通道,32GB (16GB*2),5600,None,2599,"十銓ELITE 32GB(雙通道16GB*2) DDR5 5600/CL46, $2599 ◆ ★"
桌上型記憶體,KLEVV,DDR5,雙通道,32GB (16GB*2),6400,None,3499,"KLEVV(科賦)32GB(雙通道16GB*2) DDR5 6400/CL32 BOLT V, $3499 ◆ ★"
桌上型記憶體,KLEVV,DDR5,雙通道,32GB (16GB*2),6000,None,3399,"KLEVV(科賦)32GB(雙通道16GB*2) DDR5 6000/CL40 CRAS XR5 RGB, $3399 ◆ ★ 熱賣"
桌上型記憶體,KLEVV,DDR5,雙通道,32GB (16GB*2),6200,None,3799,"KLEVV(科賦)32GB(雙通道16GB*2) DDR5 6200/CL40 CRAS XR5 RGB, $3799 ◆ ★ 熱賣"
桌上型記憶體,KLEVV,DDR5,雙通道,32GB (16GB*2),7200,None,5599,"KLEVV(科賦)32GB(雙通道16GB*2) DDR5 7200/CL36 CRAS XR5 RGB, $5599 ◆ ★"
桌上型記憶體,金士頓,DDR5,雙通道,32GB (16GB*2),6400,None,4900,"金士頓 32GB(雙通16GB*2) DDR5-6400 FURY Renegade RGB黑(KF564C32RSAK2-32), $4900 ◆ ★ 熱賣"
桌上型記憶體,金士頓,DDR5,雙通道,32GB (16GB*2),7200,None,6600,"金士頓 32GB(雙通16GB*2) DDR5-7200 FURY Renegade RGB黑(KF572C38RSAK2-32), $6600 ◆ ★ 熱賣"
桌上型記憶體,金士頓,DDR5,雙通道,32GB (16GB*2),7200,None,6600,"金士頓 32GB(雙通16GB*2) DDR5-7200 FURY Renegade RGB銀白(KF572C38RWAK2-32), $6600 ◆ ★ 熱賣"
桌上型記憶體,十銓,DDR5,雙通道,32GB (16GB*2),5200,None,2799,"十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2) DDR5-5200/CL40 黑色, $2799 ◆ ★"
桌上型記憶體,十銓,DDR5,雙通道,32GB (16GB*2),5200,None,2799,"十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2) DDR5-5200/CL40 紅色, $2799 ◆ ★"
桌上型記憶體,十銓,DDR5,雙通道,32GB (16GB*2),6000,None,3199,"十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2)DDR5-6000/CL38 黑色, $3199 ◆ ★ 熱賣"
桌上型記憶體,十銓,DDR5,雙通道,32GB (16GB*2),6000,None,3199,"十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2)DDR5-6000/CL38 紅色, $3199 ◆ ★ 熱賣"
桌上型記憶體,十銓,DDR5,雙通道,32GB (16GB*2),6400,None,3499,"十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2)DDR5-6400/CL40 黑色, $3199↗$3499 ◆ ★"
