type,brand,capacity,read_speed,write_speed,warranty,price,original_info
2.5吋 SATA3,UMAX,240GB,520,450,3,490,"UMAX S330 240GB /2.5吋 讀:520MB寫:450MB/3D NAND Flash【三年保】, $490 ◆ ★ 熱賣"
2.5吋 SATA3,UMAX,480GB,560,450,3,880,"UMAX S330 480GB /2.5吋 讀:560MB寫:450MB/3D NAND Flash【三年保】, $880 ◆ ★ 熱賣"
2.5吋 SATA3,UMAX,960GB,560,500,3,1600,"UMAX S330 960GB /2.5吋 讀:560MB寫:500MB/3D NAND Flash【三年保】, $1600 ◆ ★ 熱賣"
2.5吋 SATA3,威剛,120GB,520,320,3,388,"威剛 Ultimate SU650 120G/2.5吋/讀:520M/寫:320M/TLC顆粒【三年保】, $388 ◆ ★"
2.5吋 SATA3,威剛,240GB,520,450,3,599,"威剛 Ultimate SU650 240G/2.5吋/讀:520M/寫:450M/TLC顆粒【三年保】, $599 ◆ ★"
2.5吋 SATA3,威剛,480GB,520,450,3,999,"威剛 Ultimate SU650 480G/2.5吋/讀:520M/寫:450M/TLC顆粒【三年保】, $999 ◆ ★"
2.5吋 SATA3,WD,250GB,550,525,5,1100,"WD Blue SA510 250GB(藍標)/2.5吋/讀:550M/寫:525M/3D TLC顆粒【五年保】, $1100 ◆ ★"
2.5吋 SATA3,WD,500GB,560,530,5,1450,"WD Blue SA510 500GB(藍標)/2.5吋/讀:560M/寫:530M/3D TLC顆粒【五年保】, $1500↘$1450 ◆ ★ 熱賣"
2.5吋 SATA3,WD,1TB,560,530,5,2200,"WD Blue SA510 1TB(藍標)/2.5吋/讀:560M/寫:530M/3D TLC顆粒【五年保】, $2200 ◆ ★"
2.5吋 SATA3,金士頓,240GB,500,350,3,750,"金士頓 A400 240G/2.5吋/讀:500M/寫:350M/TLC顆粒【三年保】, $750 ◆ ★"
2.5吋 SATA3,金士頓,480GB,500,450,3,1050,"金士頓 A400 480G/2.5吋/讀:500M/寫:450M/TLC顆粒【三年保】, $1050 ◆ ★"
2.5吋 SATA3,金士頓,960GB,500,450,3,1750,"金士頓 A400 960G/2.5吋/讀:500M/寫:450M/TLC顆粒【三年保】, $1750 ◆ ★ 熱賣"
2.5吋 SATA3,金士頓,256GB,550,500,5,799,"金士頓 SKC600 256G/2.5吋/讀:550M/寫:500M/SMI/3D TLC【五年】, $799 ◆ ★"
2.5吋 SATA3,金士頓,512GB,550,520,5,1570,"金士頓 SKC600 512G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年】, $1570 ◆ ★"
2.5吋 SATA3,金士頓,1024GB,550,520,5,2720,"金士頓 SKC600 1024G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年】, $2720 ◆ ★"
2.5吋 SATA3,金士頓,2048GB,550,520,5,5100,"金士頓 SKC600 2048G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年】~加送滑鼠墊~, $5100 ◆ ★"
2.5吋 SATA3,十銓,240GB,520,450,0,699,"十銓 T-Force Vulcan Z 火神Z 240G/2.5吋 讀520MB:寫450MB/3D NAND/TLC, $699 ◆ ★"
2.5吋 SATA3,十銓,480GB,540,470,0,999,"十銓 T-Force Vulcan Z 火神Z 480G/2.5吋 讀540MB:寫470MB/3D NAND/TLC, $999 ◆ ★"
2.5吋 SATA3,十銓,1TB,550,500,0,1799,"十銓 T-Force Vulcan Z 火神Z 1TB/2.5吋 讀550MB:寫500MB/3D NAND/TLC, $1799 ◆ ★ 熱賣"
2.5吋 SATA3,十銓,2TB,550,500,0,3799,"十銓 T-Force Vulcan Z QLC 火神Z 2TB/2.5吋 讀550MB:寫500MB/3D NAND/QLC, $3799 ◆ ★"
2.5吋 SATA3,十銓,4TB,550,500,0,5799,"十銓 T-Force Vulcan Z QLC 火神Z 4TB/2.5吋 讀550MB:寫500MB/3D NAND/QLC, $5799 ◆ ★"
2.5吋 SATA3,美光,240GB,540,500,3,680,"美光Micron Crucial BX500 240G/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】, $680 ◆ ★"
2.5吋 SATA3,美光,500GB,540,500,3,949,"美光Micron Crucial BX500 500G/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】, $949 ◆ ★"
2.5吋 SATA3,美光,1TB,540,500,3,1900,"美光Micron Crucial BX500 1TB/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】, $1900 ◆ ★"
2.5吋 SATA3,美光,2TB,540,500,3,4050,"美光Micron Crucial BX500 2TB/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】, $4050 ◆ ★"
2.5吋 SATA3,美光,250GB,560,510,5,1000,"美光Micron Crucial MX500 250G/2.5吋/讀:560M/寫:510M/TLC/SMI台控制器【五年】, $1000 ◆ ★"
2.5吋 SATA3,美光,500GB,560,510,5,1450,"美光Micron Crucial MX500 500G/2.5吋/讀:560M/寫:510M/TLC/SMI台控制器【五年】, $1450 ◆ ★"
2.5吋 SATA3,美光,1TB,560,510,5,2150,"美光Micron Crucial MX500 1TB/2.5吋/讀:560M/寫:510M/TLC/SMI台控制器【五年】, $2150 ◆ ★ 熱賣"
2.5吋 SATA3,美光,2TB,560,510,5,3788,"美光Micron Crucial MX500 2TB/2.5吋/讀:560M/寫:510M/TLC/SMI台控制器【五年】, $3788 ◆ ★"
2.5吋 SATA3,美光,4TB,560,510,5,7999,"美光Micron Crucial MX500 4TB/2.5吋/讀:560M/寫:510M/TLC/SMI台控制器【五年】, $7999 ◆ ★"
2.5吋 SATA3,Samsung,500GB,560,530,5,1799,"三星 Samsung 870 EVO 500G/2.5吋/讀:560/寫:530/TLC/五年保*星睿奇, $1799 ◆ ★"
2.5吋 SATA3,Samsung,1TB,560,530,5,3399,"三星 Samsung 870 EVO 1TB/2.5吋/讀:560/寫:530/TLC/五年保*星睿奇, $3399 ◆ ★"
2.5吋 SATA3,Samsung,2TB,560,530,5,5899,"三星 Samsung 870 EVO 2TB/2.5吋/讀:560/寫:530/TLC/五年保*星睿奇, $5899 ◆ ★"
